
  ----- YM PROFILES ------------------------------------------

         ym          U         u'          W         w'          P         p'
 -9.22379510E-04  1.31626398E+00  5.76268801E-02 -4.32075845E-05  4.33715607E-02 -3.84875250E-03  4.86138765E-03
  9.22379510E-04  1.31626398E+00  5.76268801E-02  4.32075845E-05  4.33715607E-02 -3.84875250E-03  4.86138765E-03
  2.78415421E-03  1.31626032E+00  5.76301574E-02  3.16343401E-05  4.48700852E-02 -3.81380973E-03  4.67954930E-03
  4.68027417E-03  1.31625744E+00  5.76340298E-02  3.01368732E-05  4.47239203E-02 -3.80926116E-03  4.52482415E-03
  6.61137297E-03  1.31625156E+00  5.76395403E-02  2.88710324E-05  4.46790946E-02 -3.80760618E-03  4.51220381E-03
  8.57809589E-03  1.31624119E+00  5.76470559E-02  2.74031940E-05  4.46663562E-02 -3.80607780E-03  4.50875846E-03
  1.05811001E-02  1.31622559E+00  5.76567663E-02  2.58023493E-05  4.46631772E-02 -3.80503841E-03  4.50750463E-03
  1.26210549E-02  1.31620426E+00  5.76687955E-02  2.41463606E-05  4.46633809E-02 -3.80445977E-03  4.50726718E-03
  1.46986420E-02  1.31617685E+00  5.76832421E-02  2.24766690E-05  4.46652465E-02 -3.80420772E-03  4.50764520E-03
  1.68145555E-02  1.31614304E+00  5.77001958E-02  2.08078164E-05  4.46683181E-02 -3.80417430E-03  4.50845086E-03
  1.89695026E-02  1.31610253E+00  5.77197451E-02  1.91388962E-05  4.46725194E-02 -3.80428734E-03  4.50958745E-03
  2.11642032E-02  1.31605502E+00  5.77419796E-02  1.74608683E-05  4.46778920E-02 -3.80450133E-03  4.51100355E-03
  2.33993908E-02  1.31600022E+00  5.77669906E-02  1.57606780E-05  4.46845139E-02 -3.80478879E-03  4.51267217E-03
  2.56758122E-02  1.31593782E+00  5.77948716E-02  1.40234868E-05  4.46924741E-02 -3.80513394E-03  4.51458032E-03
  2.79942281E-02  1.31586749E+00  5.78257181E-02  1.22338617E-05  4.47018638E-02 -3.80552819E-03  4.51672324E-03
  3.03554131E-02  1.31578891E+00  5.78596275E-02  1.03763978E-05  4.47127742E-02 -3.80596732E-03  4.51910110E-03
  3.27601564E-02  1.31570172E+00  5.78966993E-02  8.43602657E-06  4.47252948E-02 -3.80644959E-03  4.52171710E-03
  3.52092613E-02  1.31560556E+00  5.79370346E-02  6.39815047E-06  4.47395134E-02 -3.80697463E-03  4.52457626E-03
  3.77035464E-02  1.31550006E+00  5.79807366E-02  4.24867834E-06  4.47555152E-02 -3.80754287E-03  4.52768482E-03
  4.02438450E-02  1.31538482E+00  5.80279104E-02  1.97400748E-06  4.47733830E-02 -3.80815508E-03  4.53104974E-03
